1   La  Nd  Ni  Pb  Rb   Sr  Th   U   V   Zn  Zr  Nb   Y
2   37  47   8  12  61  287   0   0  47   31 162  20  27
3   46  26  11  11 145   30  15  13  37   51 130  11  20
4  285  29  20  10  45  629   5   1  79   92 163  24  17
5   27  22  15  12  81   90   9  22  32    1 159  20  12
6   25  33  21  29 179  166  12  15  24   47 224  19  33
7   11  16  16   6  83   92  21  23   9   11 141  29  19
8   25   7  19  15  93   81  50   2  11   29 129  21  27
9   25  13  15  13 115  254  39  22  63   17 108  17  27
10  30   4  19  21 165  167  23  19  24   17 144   9  25
11  37  31  17   9 111   69  31  10   4   47 112  22  26
12  20  27  14  17 110   75  48   0  14   25 124  17  17
13  61  13   8  17  95   98  32  14  24   22 125  20  13
14  38  36  20  15 199  148  27  17  11   45 173  22  15
15  41   8   7   8 116   95  30  11  33    6 169  18  22
16  36  42  20  22  14  121  29   6  11 1165 244  28  24
17  52  15  25  24 136  158  23  19  81   80 273  12  20
18   8   5   4  20  85  196  32   9   9   12 123  10   9
19 239  29  17  18  80  219  36  31  22   22 180  22  20
20  41  25  10  17 101  510   2   0  93   63 202  21  13
21  37  29  28  13  77  506  23   1 188   75 187   8  26
22  10  36  14  22 112  631  13   1  94   92 194  18   8
23 247  18  13  17  12  641   5   0 186   79 174   0  27
24  36  16   6  15  56  802   0   0 238  113  76   8  29
25  31  50 109  42  57  731  16   0 186  277 341  13   7
26  20  18  11  17  95  277  14   5 323  115 121  19  33
27  43  28  29  11  32  247   3   0 263  455 120   0  28
28  41  16  14  15  43  635   0   0 297   93 111   0  15
29  56  29   0  15  86  301   2   0 318   93  95   0  36
30  49  10  17  16  93  478   0   3 190   81 162  18  31
31   3  31  43  26  95  383  10   0 201  115 153  21  24
32  52   7  75  22  55  174  10   6 209  118 194  26  22
33  41  15   7  10  61  327  15  13 131  113 126   4  12
34  32  32  19  12  23  608   4   0 206   76 195  19  26
35  17  33  14  17  37  370   5   9 121  406 220  14  35
36   3  35  12  19  64  772  38   6 105   69 151  17  15
37   1  31  16  13  87  252  16  14  50   86 318  16  45
38  33  72   3  12  85  634   0   0  69   58 164  16  10
39  33  89  42  17 155  510   6   0 167   79 227  17  27
40 240  37  40  24  78  596  10   6 204   86 230  11  24
41  12  43  15  12  85  689  14   3 121   61 331  15  42
42   8  29  42  21 140  583   0   0 152   69 236  18  27
43  22  35  31  14  73  547   3   2 188   80 162  16  23
44  10  14  33  14   7  419  12   0 267   86 117   0  16
45   3  25  52  39  95  495  91  26 212   74 187  14  18
46  11  21  45  33  75  453  17   6 258   79 198   2  28
47  38   8  46  32  62  454   3  16 230   70 177   9  17
48  25  26  54  27  76  461   2   3 232   65 160  13  30
49  16  49  32  20  79  531   1   0 178   78 193   8  18
50  52  47  19  14 118  563   0   2 318  141 127  14  19
51   5  19  32  35   5 1207   6   1 212  111 113   0  10
52  38  14  46  48   2  800  13   0 209   70 156  19  30
53  58  33  11  47  44  154   0   0 351  500 194  20  30
54   5  35  21  21  86  274   7   6  24   67 173  14  12
55   3  21  12  14 148  343  14  13   1   22 170  10  20
56  35  25  16  18 134  231  28   9  37   24 176  19  17
57 331  30  16  14  79  709  14  26  53   63 162  20  26
58  38  15  21  19 118  215  29  10   4   22 124  19  23
59  41  27  16  17 156  265  13  19  77   36 224  20  35
60  55  27  20  10 144  109   3   0  92   29 183  21  33
61  18   9  20  16  39  572  19  12 217   74 113   0  18
62  21  26  16  17  36  643  21   1 178   78 170   0  12
63  16  33  17  10  43  315  20   8 110   66 230  19  22
64  41  13  19  18 177  283  11   7  63   61 187  25  30
65  41 204  17  26  34  544   0   0 232  113 125   7  15
66  33  33  14  35 102  184  44   1  29   12 114  20  19
67  37  38  15  11  82  486  11   7  71   45 202  12  32
68   5  25  20  25  54  949  11   1 289   24 180   0  19
69  57  22  23  18  95  457  13   0 142   43 196  14  19
70 240  35  22  19  30  382  10   0 459  354 188  15  50
71   1  31  55  14 117 1261  16  47 222   97 158   2  24
72  30  39  10  19  54  495   4  13 111   30 169   4  17
73 280  24  21  24  82  382   2   0 289   94 218  13  34
74  47  50   4   5  16  728   0   0 243   20 147  15  29
75  44 103   3  18 112  580   0   0 180  311 230  16  34
76 247  28  30  38  40  424  47   5 118   67 174  18  32
77  20 219   7  20  62  413   6   0  93   40 101   0  12
78  44 134  29  24 406  117  23  40  47   47 386  11  44
79  25  68  25  25 144  228   0   0 318  203 243  23  39
80  40  25  14  13  95  167  14   7  27   21 123  22  34
81  37  37  15  12 101  232  20  13   6   17 156   9  16
82  55  21   2  15  47  249   0   0 166   40 159   8  31
83  40  26   3  27 114  424   1   2  46   36 155   1  22
84  38  36  23  10  49  716  13   4 157   78 152   5  20
85  52  32  13  24 151  179  23   5  22   19 186  12  17
86  22  79   6  17 133  125   0  38  16   42  86  12  18
87  47  19  14  19  59  612   0   0  65   77 197  19  25
